Hora;ENERGIA.Present Value ();ENERGIA.Present Value;ENERGIA.Present Value;ENERGIA.Present Value
19/03/13 13:00:00 CET;309351.0;;;
19/03/13 14:00:00 CET;309449.2;;;
19/03/13 15:00:00 CET;309542.7;;;
19/03/13 16:00:00 CET;309625.9;;;
19/03/13 17:00:00 CET;309709.6;;;
19/03/13 18:00:00 CET;309803.2;;;
19/03/13 19:00:00 CET;309889.3;;;
19/03/13 20:00:00 CET;309977.4;;;
19/03/13 21:00:00 CET;310050.9;;;
19/03/13 22:00:00 CET;310127.7;;;
19/03/13 23:00:00 CET;310204.8;;;
20/03/13 0:00:00 CET;310278.3;;;
20/03/13 1:00:00 CET;310351.8;;;
20/03/13 2:00:00 CET;310425.7;;;
20/03/13 3:00:00 CET;310498.7;;;
20/03/13 4:00:00 CET;310569.7;;;
20/03/13 5:00:00 CET;310643.7;;;
20/03/13 6:00:00 CET;310716.7;;;
20/03/13 7:00:00 CET;310791.7;;;
20/03/13 8:00:00 CET;310864.9;;;
20/03/13 9:00:00 CET;310941.1;;;
20/03/13 10:00:00 CET;311032.2;;;
20/03/13 11:00:00 CET;311130.4;;;
20/03/13 12:00:00 CET;311225.3;;;
20/03/13 13:00:00 CET;311321.3;;;
20/03/13 14:00:00 CET;311412.4;;;
20/03/13 15:00:00 CET;311493.3;;;
20/03/13 16:00:00 CET;311571.1;;;
20/03/13 17:00:00 CET;311652.7;;;
20/03/13 18:00:00 CET;311731.5;;;
20/03/13 19:00:00 CET;311808.7;;;
20/03/13 20:00:00 CET;311900.6;;;
20/03/13 21:00:00 CET;311984.2;;;
20/03/13 22:00:00 CET;312066.1;;;
20/03/13 23:00:00 CET;312152.3;;;
21/03/13 0:00:00 CET;312239.8;;;
21/03/13 1:00:00 CET;312328.4;;;
21/03/13 2:00:00 CET;312414.2;;;
21/03/13 3:00:00 CET;312501.1;;;
21/03/13 4:00:00 CET;312588.7;;;
21/03/13 5:00:00 CET;312673.5;;;
21/03/13 6:00:00 CET;312763.3;;;
21/03/13 7:00:00 CET;312846.8;;;
21/03/13 8:00:00 CET;312935.3;;;
21/03/13 9:00:00 CET;313023.2;;;
21/03/13 10:00:00 CET;313129.1;;;
21/03/13 11:00:00 CET;313238.5;;;
21/03/13 12:00:00 CET;313347.5;;;
21/03/13 13:00:00 CET;313447.3;;;
21/03/13 14:00:00 CET;313541.7;;;
21/03/13 15:00:00 CET;313626.9;;;
21/03/13 16:00:00 CET;313702.4;;;
21/03/13 17:00:00 CET;313775.0;;;
21/03/13 18:00:00 CET;313851.1;;;
21/03/13 19:00:00 CET;313923.8;;;
21/03/13 20:00:00 CET;313999.0;;;
21/03/13 21:00:00 CET;314070.3;;;
21/03/13 22:00:00 CET;314143.3;;;
21/03/13 23:00:00 CET;314219.8;;;
22/03/13 0:00:00 CET;314297.3;;;
22/03/13 1:00:00 CET;314373.4;;;
22/03/13 2:00:00 CET;314449.4;;;
22/03/13 3:00:00 CET;314526.1;;;
22/03/13 4:00:00 CET;314602.2;;;
22/03/13 5:00:00 CET;314677.5;;;
22/03/13 6:00:00 CET;314755.4;;;
22/03/13 7:00:00 CET;314832.0;;;
22/03/13 8:00:00 CET;314906.5;;;
22/03/13 9:00:00 CET;314986.9;;;
22/03/13 10:00:00 CET;315076.9;;;
22/03/13 11:00:00 CET;315167.0;;;
22/03/13 12:00:00 CET;315255.5;;;
